Word,Occurrences,Likelihood Ratio
got,470.0,0.915373068083977
mail,32.0,1.105197841354662
works,359.0,1.06051651102169
alot,8.0,1.186302374644115
better,914.0,0.8874512070102424
deserves,111.0,1.0693742139894329
.,65876.0,0.9656884484026983
order,282.0,0.9885051373696503
make,1590.0,0.9518732627002582
film,8849.0,0.9924056341906626
success,216.0,0.9888447440162684
",",77717.0,0.9877978142932748
cast,759.0,0.980760066504534
two,1824.0,0.9837129297242987
extremely,248.0,1.0628368741122038
popular,191.0,0.9582073228279724
attractive,81.0,0.9811098171784344
stars,376.0,0.8967661819466662
share,112.0,1.1640028582052282
screen,626.0,0.9846669815354774
hours,234.0,0.9932776163991454
collect,19.0,1.2348262763342361
profits,6.0,1.0794698409677228
real,849.0,0.9539357442116032
acting,688.0,0.9385144439767589
involved,241.0,0.9728685947908579
original,701.0,0.984971422270918
inventive,51.0,0.9994858929968576
bone,47.0,0.9121290090413066
body,258.0,0.9572887862964068
(,11664.0,0.9576164780711938
basically,210.0,0.8235390024597105
complete,197.0,0.8685550251004801
re-shoot,4.0,1.315499565432745
shop,55.0,1.0956377245928477
around,896.0,0.9557929252978228
corner,52.0,0.8727837813628799
adding,36.0,1.1530065701560461
modern,134.0,1.0254092461583737
twists,114.0,1.02937837499101
),11781.0,0.9562238361112001
essentially,62.0,1.052999511848761
goes,646.0,0.9573126557171887
defies,15.0,0.9400797637356064
concepts,23.0,1.1466892269944131
good,2313.0,0.9672424672650741
contemporary,50.0,1.1979412739388144
filmmaking,98.0,1.2087554334917858
overly,65.0,0.8480401303810106
sentimental,39.0,1.1364660867958132
times,564.0,0.9744920727765333
terribly,56.0,0.822141468841343
mushy,4.0,0.9135413648838506
mention,113.0,0.9587101649525885
manipulative,38.0,0.9053900249063638
oh,196.0,0.8774705571835439
enjoyable,163.0,1.0460341755583964
manipulation,17.0,1.2596369551045643
must,604.0,0.9617013224346054
something,1047.0,0.9715424717993061
casting,125.0,1.034388608277029
makes,991.0,0.9909057634696427
movie,5429.0,0.9231541210092141
work,1005.0,0.9359999821615769
well,1654.0,1.0321298489440531
absolutely,186.0,0.9213787575239594
hated,35.0,0.8919909955072938
previous,186.0,1.0675590411695872
ryan/hanks,1.0,2.2817282836157733
teaming,8.0,1.186302374644115
sleepless,10.0,1.588386742417741
seattle,22.0,1.2577914842889824
directing,117.0,1.0642014313367019
films,1513.0,1.0406463550339764
helmed,15.0,0.8356264566538724
woman,513.0,0.9299813247302136
quite,655.0,1.0981194475479494
yet,600.0,1.0182207198028141
figured,29.0,0.9709634222862882
liked,153.0,1.0057529681401716
much,2022.0,0.9467081111584363
really,1556.0,0.9548254540726124
important,208.0,1.1088822810315306
?,3771.0,0.9118584521007154
like,3543.0,0.9398252003998605
even,2554.0,0.9308912699530283
question,277.0,0.9236514012432385
storyline,106.0,1.0312666527415622
cliched,66.0,0.8458180450968792
come,767.0,0.981135513193151
tom,259.0,1.0258170292335702
hanks,77.0,1.3901998905895179
plays,752.0,0.9348777989361222
joe,285.0,1.0607902770733133
fox,102.0,1.1501706852571292
insanely,12.0,1.0521795081814942
likeable,47.0,1.146858712067321
owner,88.0,1.0005739743591842
discount,9.0,1.062996091416408
book,330.0,0.9581523901999076
chain,43.0,1.0572540530393313
meg,56.0,0.9862440903728348
ryan,193.0,1.0727015518409428
kathleen,26.0,1.1254338011173939
kelley,17.0,1.0983790840404533
proprietor,6.0,1.0794698409677228
family-run,1.0,2.2817282836157733
children's,52.0,1.0803623335787718
called,356.0,0.890643305687793
nice,336.0,1.0050859384066004
homage,48.0,1.1748677965465693
soon,382.0,1.004485570377464
become,509.0,1.0518606823026568
bitter,58.0,1.0299691491497054
rivals,13.0,0.8744622767040617
new,1275.0,1.0129236340000587
books,76.0,1.0778620279936608
store,118.0,0.9871008386154617
opening,301.0,0.9816914886144633
right,780.0,1.0086161358763954
across,219.0,0.9736353571547888
block,44.0,0.9130736195951841
small,406.0,1.0785160360300579
business,186.0,1.0047614505125528
little,1487.0,0.9701760536506606
know,1207.0,0.948739157966624
already,285.0,0.9025529151344873
love,1087.0,0.978242314223534
internet,38.0,1.0847824633519063
neither,158.0,0.9040524047485828
party,176.0,0.9763088631725491
knows,276.0,1.0181681401601748
person's,20.0,1.1258603555717488
true,385.0,1.134930690035055
identity,79.0,1.000684807907337
rest,430.0,0.9339364568029102
story,2110.0,0.9961918462393189
serve,78.0,0.9151504717963257
mere,47.0,1.111576021702048
backdrop,31.0,1.0789439832442693
sure,518.0,0.9593077759565964
mildly,43.0,0.7810864791848149
interesting,633.0,0.9457930323035073
subplots,58.0,0.8748885670334147
fail,69.0,0.952698322407915
comparison,72.0,0.9902409373015267
utter,41.0,1.0408599423004108
cuteness,10.0,0.8320121031711976
main,399.0,0.9253093140615358
relationship,359.0,1.0278519943236553
course,647.0,0.9475323876990431
leads,231.0,1.025918114476331
predictable,180.0,0.866161462224552
climax,121.0,0.9747179860927395
foreseeable,2.0,1.1220120918220267
ending,421.0,0.9942778324934854
damn,87.0,1.0098590277416584
cute,123.0,0.9874776050021846
well-done,10.0,1.3477220844756588
doubt,172.0,1.0295335912050134
entire,406.0,1.0346760928093535
year,593.0,0.989293082404355
contains,117.0,0.9796524624470547
scene,1372.0,0.9562917830811899
evokes,10.0,1.0589244949451606
pure,90.0,1.1382172685680356
joy,60.0,1.1608704084539037
part,703.0,0.9764522097632141
discovers,112.0,1.0697769169731268
online,11.0,1.630991222560425
filled,161.0,1.0365737143308942
lack,235.0,0.927846498304621
word,214.0,0.8969489377340399
happiness,39.0,1.1979784481929245
first,1766.0,0.9799090833310271
time,2280.0,0.9767229147832477
actually,834.0,0.9263357421535352
left,412.0,1.0041488886456085
theater,218.0,0.9892592727882499
smiling,14.0,1.108397744323571
one,5514.0,0.9756491648830186
colleagues,19.0,0.9921560689850732
surprised,107.0,1.0968191938513185
told,208.0,0.9924092795920281
willing,83.0,1.0204078218495096
see,1726.0,1.0048063562690643
betsy's,5.0,1.7392937145497733
wedding,155.0,1.228561980952234
shocked,26.0,1.0932785496568969
hear,131.0,0.9167981996630578
reaction,58.0,0.9876697781918029
understandable,25.0,0.9050800598502301
consider,118.0,0.99348878452431
revolves,52.0,1.0325165830581557
molly,34.0,0.9118907611901165
ringwald,9.0,1.240162106652476
made,1025.0,0.9298295502688241
worthwhile,39.0,0.9141980596163599
since,768.0,0.9523924415662405
1986,15.0,1.105976192630125
fact,795.0,0.9569562729062078
also,1965.0,1.0445508589243135
alan,99.0,0.9233727998666529
alda,13.0,1.5390536069991487
making,563.0,0.9739029146455436
duds,13.0,0.7345483124314118
last,829.0,0.9622528575469397
four,258.0,1.0002847639787742
years,839.0,0.9857373755110113
several,417.0,1.0566011664424686
noteworthy,21.0,0.9274284986630488
projects,48.0,0.8629512897293662
including,329.0,1.0002559749073154
crimes,31.0,0.9737469448779529
misdemeanors,2.0,1.1220120918220267
life,1467.0,1.0812765375218474
written,365.0,0.9546210919214995
directed,316.0,0.9754632750330872
vibrant,19.0,1.3648079896325767
slice-of-life,1.0,2.2817282836157733
mixing,18.0,1.142725360762016
dramatic,189.0,1.0261556908521956
moments,445.0,0.9891538121742037
big,967.0,0.9231947742333633
bowl,15.0,1.0995084955972003
whimsical,15.0,1.1544839203770605
humor,405.0,0.9982281516109014
alda's,4.0,2.1924992757212416
comic,375.0,0.9958014820218156
elixir,1.0,2.2817282836157733
smooth,25.0,1.267592232363187
refreshing--and,1.0,2.2817282836157733
welcome,76.0,1.0546821994346574
change,204.0,1.0626964144979083
pace,117.0,1.0788939522799792
usual,173.0,1.0245306592208656
summer,310.0,0.9214369192586631
fare,77.0,1.0325662630297385
bride,49.0,0.9828455103547611
groom,7.0,1.5329971782031147
dylan,20.0,0.9561152558086237
walsh,30.0,1.478216828656798
pivotal,28.0,1.2326846026293032
characters,1813.0,0.9808134847163651
far,611.0,0.9808564009170272
least,675.0,0.8842705460768602
nonentity,1.0,2.2817282836157733
presence,192.0,0.9433596577696572
