Word,Occurrences,Likelihood Ratio
films,1513.0,1.050005799302477
adapted,45.0,1.0220892144562037
comic,375.0,1.0924824193156246
books,76.0,1.148174878798728
plenty,129.0,1.0449268330123815
success,216.0,1.0874417328469268
",",77717.0,1.0383678173371687
whether,216.0,1.1146685864960395
they're,414.0,0.9568738933178501
superheroes,12.0,1.026584865333074
(,11664.0,1.0075706399979754
batman,189.0,0.7201464670327264
superman,23.0,0.9015825753823373
spawn,75.0,0.722773077156283
),11781.0,1.0064063059280444
geared,13.0,0.8592007939881288
toward,100.0,1.0911528004221083
kids,309.0,1.0494905217823438
casper,22.0,1.0102043213415226
arthouse,3.0,1.225112468996922
crowd,74.0,1.0114197501666122
ghost,70.0,1.4783390286620564
world,958.0,1.1716249528819032
there's,986.0,0.9577154472419517
never,1360.0,1.0337486959956184
really,1556.0,0.9948844503448684
book,330.0,1.0563769138020147
like,3543.0,0.9796014178457906
hell,217.0,0.9891941031734321
.,65876.0,1.0156989287158666
starters,8.0,1.041331410252756
created,162.0,1.147314021107805
alan,99.0,1.1048445895000234
moore,73.0,0.948967760333626
eddie,143.0,0.9413166932558766
campbell,88.0,1.0909548267223397
brought,157.0,1.0002468157832738
medium,28.0,0.8912594811185509
whole,494.0,0.9476509713415892
new,1275.0,1.0762695380433407
level,243.0,1.0304489525395142
mid,13.0,1.0883210057182964
'80s,22.0,1.0808770516411352
12-part,1.0,1.7948491172160237
series,529.0,0.9792019297832619
called,356.0,0.9731333694376334
watchmen,1.0,1.7948491172160237
say,802.0,1.022461058926765
thoroughly,70.0,1.0010926248439795
researched,1.0,1.7948491172160237
subject,163.0,1.0404325127060738
jack,266.0,0.93697412590126
ripper,5.0,1.8657001016807226
would,2041.0,0.993790345604208
saying,170.0,1.0348308973505387
michael,407.0,0.9549787829054407
jackson,107.0,1.1917831659856388
starting,60.0,1.0560122075993115
look,829.0,0.9771011650301026
little,1487.0,1.0371234234111197
odd,108.0,0.9352145935064333
"""",17612.0,0.9873755352525586
graphic,85.0,1.133151719000195
novel,254.0,1.1587827797038388
500,7.0,1.2962648245132622
pages,21.0,0.9358101167907041
long,749.0,1.0250307820068059
includes,108.0,0.9644236326025784
nearly,302.0,1.0733442895186458
30,57.0,0.9599435272006115
consist,9.0,1.2351140884218612
nothing,800.0,0.9298342597025562
footnotes,2.0,1.3640652091788796
words,213.0,1.0662489402005044
dismiss,14.0,1.0754144340569471
film,8849.0,1.0499542917372269
source,60.0,1.1627283733748075
get,1920.0,0.9744725482449998
past,333.0,1.039280959409857
thing,799.0,0.9667761096450853
might,624.0,0.9935782371257909
find,779.0,1.0449895244785103
another,1111.0,1.0195798240734077
stumbling,15.0,1.1246243952126305
block,44.0,1.0792996596628335
hell's,6.0,1.5636449861216026
directors,98.0,1.0342677199157246
albert,43.0,1.0036144214313807
allen,130.0,1.071784079867505
hughes,43.0,0.9164304100205644
getting,404.0,0.9981057680230939
brothers,167.0,0.9572302711157264
direct,67.0,1.0793785538872118
seems,1032.0,1.0196921692494536
almost,810.0,1.0429617483155265
ludicrous,41.0,0.7292613369998887
casting,125.0,0.9747239582668825
carrot,11.0,0.8822449648355909
top,285.0,0.986126711880752
well,1654.0,1.0705311247460851
anything,617.0,0.9821069103004432
riddle,1.0,1.7948491172160237
:,3042.0,0.9777240729629643
better,914.0,0.9226849233223239
that's,779.0,0.9397801443697489
set,544.0,1.0427996941219602
ghetto,22.0,0.7438977355412518
features,216.0,1.0748827025376506
violent,135.0,1.012588749485909
street,128.0,0.9271264160420781
crime,199.0,1.0470875497460592
mad,82.0,0.9503450905487167
geniuses,11.0,0.8960300424111469
behind,351.0,1.064188667876918
menace,101.0,1.1122709347382445
ii,132.0,1.0186412551245339
society,149.0,1.168547815806068
?,3771.0,0.9452147860975377
question,277.0,1.0174331800146361
course,647.0,0.9745376192674707
whitechapel,2.0,1.8187536122385064
1888,2.0,1.8187536122385064
london's,4.0,1.158130546470553
east,36.0,0.9817355728465423
end,1044.0,1.048829283841756
filthy,5.0,1.2438000677871484
sooty,1.0,1.7948491172160237
place,610.0,1.0691104583128008
whores,2.0,1.3640652091788796
unfortunates,2.0,1.8187536122385064
nervous,37.0,1.0889105943565902
mysterious,118.0,1.03604476897874
